미술관명,경도,위도
국립현대미술관(서울관),126.9806176,37.5788415
국립현대미술관(덕수궁관),126.9749535,37.5658716
DDP디자인뮤지엄,127.0097436,37.5671687
겸재정선미술관,126.8384005,37.5721936
서울시립미술관,126.9737099,37.5641128
성북구립미술관,126.9948824,37.5948491
"성북구립 최만린미술관,(성북구립미술관 분관)",127.0042969,37.6106609
"성북어린이미술관 꿈자람,(성북구립미술관 분관)",127.0505923,37.6049244
"성북예술창작터,(성북구립미술관 분관)",127.0041186,37.5900528
종로구립 박노수미술관,126.9667495,37.5812529
63아트,126.9397609,37.5195719
JCC아트센터,127.0020048,37.5872417
K현대미술관,127.0390789,37.5243773
OCI미술관,126.9821333,37.573115
금호미술관,126.9799116,37.5774749
김세중미술관,126.963885,37.5420327
대림미술관,126.9733452,37.57749
디뮤지엄(대림미술관 분관),127.0438799,37.5444375
롯데뮤지엄,127.1027399,37.5129211
리움미술관,126.9990564,37.5385066
밀알미술관,127.0820775,37.4858209
사비나미술관,126.9292761,37.630133
상원미술관,126.9765582,37.6115499
서울서예박물관,127.0146018,37.4801414
성곡미술관,126.9697478,37.5731788
세종문화회관 미술관,126.9758963,37.5722501
세화미술관,126.9721281,37.5696675
소마미술관,127.1211896,37.5186554
아라리오뮤지엄 인 스페이스,126.9884449,37.5776925
아르코미술관,127.0030497,37.5802045
아모레퍼시픽미술관,126.9686729,37.5287933
아트선재센터,126.9818106,37.5793564
아트센터나비미술관,126.9802993,37.5698014
유리지공예관,127.0123078,37.457704
일민미술관,126.9776504,37.5698055
자하미술관,126.9603079,37.5893596
(재)한원미술관,127.0154508,37.4817884
코리아나미술관,127.0328042,37.5240648
토탈미술관,126.9756673,37.6120918
포스코미술관,127.0561355,37.5058181
한가람디자인미술관,127.0146018,37.4801414
한가람미술관,127.0146018,37.4801414
뮤지엄 한미,127.1139627,37.5166011
헬로우뮤지움,127.0533149,37.5482348
환기미술관,126.966208,37.594214
서울과학기술대학교 미술관,127.0795142,37.6318332
서울대학교미술관,126.9527694,37.4613092
숙명여자대학교문신미술관,126.9648483,37.5460147
인덕대학교 아정미술관,127.0558861,37.6314123
